Vivado Simulator 2019.2
Time resolution is 1 ps
Block Memory Generator module BRAM_TB.UUT.blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_4_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_4_4 collision detected at time: 210000, Instance: BRAM_TB.UUT.blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 1, B write address: 1
blk_mem_gen_v8_4_4 collision detected at time: 230000, Instance: BRAM_TB.UUT.blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 1, B write address: 1
blk_mem_gen_v8_4_4 collision detected at time: 250000, Instance: BRAM_TB.UUT.blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 1, B write address: 1
blk_mem_gen_v8_4_4 collision detected at time: 270000, Instance: BRAM_TB.UUT.blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 1, B write address: 1
blk_mem_gen_v8_4_4 collision detected at time: 290000, Instance: BRAM_TB.UUT.blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 1, B write address: 1
blk_mem_gen_v8_4_4 collision detected at time: 310000, Instance: BRAM_TB.UUT.blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 1, B write address: 1
blk_mem_gen_v8_4_4 collision detected at time: 330000, Instance: BRAM_TB.UUT.blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 1, B write address: 1
blk_mem_gen_v8_4_4 collision detected at time: 350000, Instance: BRAM_TB.UUT.blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 1, B write address: 1
blk_mem_gen_v8_4_4 collision detected at time: 370000, Instance: BRAM_TB.UUT.blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 1, B write address: 1
blk_mem_gen_v8_4_4 collision detected at time: 390000, Instance: BRAM_TB.UUT.blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 1, B write address: 1
blk_mem_gen_v8_4_4 collision detected at time: 510000, Instance: BRAM_TB.UUT.blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 1, B write address: 1
blk_mem_gen_v8_4_4 collision detected at time: 530000, Instance: BRAM_TB.UUT.blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 1, B write address: 1
blk_mem_gen_v8_4_4 collision detected at time: 550000, Instance: BRAM_TB.UUT.blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 1, B write address: 1
blk_mem_gen_v8_4_4 collision detected at time: 570000, Instance: BRAM_TB.UUT.blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 1, B write address: 1
blk_mem_gen_v8_4_4 collision detected at time: 590000, Instance: BRAM_TB.UUT.blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 1, B write address: 1
blk_mem_gen_v8_4_4 collision detected at time: 610000, Instance: BRAM_TB.UUT.blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 1, B write address: 1
blk_mem_gen_v8_4_4 collision detected at time: 630000, Instance: BRAM_TB.UUT.blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 1, B write address: 1
blk_mem_gen_v8_4_4 collision detected at time: 650000, Instance: BRAM_TB.UUT.blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 1, B write address: 1
blk_mem_gen_v8_4_4 collision detected at time: 670000, Instance: BRAM_TB.UUT.blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 1, B write address: 1
blk_mem_gen_v8_4_4 collision detected at time: 690000, Instance: BRAM_TB.UUT.blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 1, B write address: 1
blk_mem_gen_v8_4_4 collision detected at time: 810000, Instance: BRAM_TB.UUT.blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 1, B write address: 1
blk_mem_gen_v8_4_4 collision detected at time: 830000, Instance: BRAM_TB.UUT.blk_mem_gen_0.inst.native_mem
